function	ALC_19	ALC_20	CIR_18	CIR_19	ERR844085	ERR844086	IL_18	Met9_18	My_20	PR9_18	Pty_20	SRR2029458	SRR2029459	SRR2029460	SRR2071024	SRR2071075	SRR7135742	SRR7135743	V3_20	VT_20
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	16498.75	42725.34	13788.5	45906.0	80245.66	591.01	14964.75	12505.66	47660.16	8603.5	57897.34	52267.14	50692.84	51844.29	568505.24	1436153.66	161821.79	137523.42	25346.78	91009.8
1.1.1.117-RXN	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.136-RXN	417.0	1600.0	0.0	54.0	9924.17	20.0	2243.0	273.5	135.0	68.5	28.0	163.44	41.0	96.77	83917.83	240781.39	20798.92	9395.67	339.04	24.4
1.1.1.145-RXN	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.0	698.0	178.0	202.0	0.0	0.0
1.1.1.215-RXN	653.75	444.0	668.5	467.0	32.0	43.0	4308.0	862.0	7485.5	351.0	5979.0	549.25	1040.5	3380.83	5769.17	11114.39	3328.33	2380.0	2043.0	557.0
1.1.1.253-RXN	6634.25	20220.67	6105.0	21076.0	1602.84	27.0	3884.25	3499.83	108.0	3711.5	20592.0	10834.75	9205.5	11756.0	84471.0	254805.03	20633.17	29910.42	12997.83	0.0
1.1.1.261-RXN	24.0	177.0	0.0	0.0	715.85	58004.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	164.5	21544.32	52404.57	744.0	768.01	96.16	471.0
1.1.1.264-RXN	102.0	6.0	277.0	232.0	754.83	0.0	1798.0	196.0	5080.0	0.0	422.0	853.94	825.5	1965.44	7507.67	12006.33	815.0	93.0	109.5	0.0
1.1.1.271-RXN	7744.5	15100.67	6709.5	22660.5	2841.18	165.34	7169.0	2427.83	23648.33	1837.0	25379.67	22742.16	21799.17	23092.57	158724.09	449885.15	48068.51	50105.84	19267.41	0.0
1.1.1.289-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	7.0	0.0	0.0	0.0	0.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	15.33	0.0	7.67	286.0	119.5	241.0	7867.0	18492.0	859.0	623.0	27.67	0.0
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	21.0	21.0	15.0	308.0	983.1	4704.0	0.0	0.0	0.0	24.4
1.1.1.39-RXN	9308.0	14957.67	219.5	128.0	36963.16	58286.67	2239.0	1709.33	231.0	1247.5	26.0	1004.67	447.5	1199.66	119077.39	296437.94	44895.96	26554.5	14355.27	990.8
1.1.1.43-RXN	33.0	0.0	31.0	32.0	0.0	36.0	9.5	34.0	36.5	10.0	23.0	114.0	200.0	307.0	3126.67	7505.33	461.0	21.0	11.0	0.0
1.1.1.51-RXN	0.0	12.0	4.0	5.0	0.0	0.0	0.0	13.0	17.0	6.0	403.0	460.0	447.0	96.0	3593.5	7917.0	162.0	927.0	1514.0	0.0
1.1.1.53-RXN	0.0	12.0	0.0	5.0	2132.99	87.0	9.5	50.0	53.5	6.0	403.0	426.0	693.0	141.0	10474.0	18664.0	610.0	965.0	1514.0	0.0
1.1.1.83-RXN	271.0	1997.0	619.5	487.0	3383.0	120.0	2679.0	422.5	7792.0	217.0	7237.0	1566.94	1791.5	3816.44	56376.17	92975.5	8478.5	7259.0	2157.1	110.4
1.1.3.41-RXN	98.0	2.0	0.0	36.0	662.33	26.0	117.0	13.0	0.0	0.0	21.0	21.0	65.67	308.0	44342.5	123521.5	5475.0	3241.0	28.0	0.0
1.1.99.25-RXN	55.0	16.0	250.5	160.0	0.0	0.0	17.0	0.0	124.0	0.0	49.0	618.5	604.5	1142.0	282.0	5001.0	547.0	81.0	62.5	0.0
1.1.99.28-RXN	298.0	342.0	40.0	146.0	1059.0	0.0	405.5	48.0	0.0	84.0	5505.0	98.5	576.67	1076.5	2326.0	4035.34	811.0	0.0	5.5	0.0
1.10.2.2-RXN	10313.75	26076.67	6525.5	21699.5	15879.0	57878.0	3095.75	6923.83	19565.33	5401.0	30629.17	25947.69	21527.0	22943.44	113592.17	234793.04	29536.0	50620.25	2549.41	86.0
1.11.1.15-RXN	43597.5	106152.18	32093.5	108842.5	88744.18	59354.01	17788.5	18329.32	28002.66	17330.0	111799.84	76232.89	71058.85	82713.28	741622.62	1955139.27	244800.8	222266.5	61280.83	92582.0
1.12.1.3-RXN	96.0	743.0	0.0	0.0	38119.0	0.0	0.0	0.0	0.0	56.0	0.0	75.0	0.0	1508.32	128997.34	355841.1	6693.88	9922.68	3171.9	0.0
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	3422.76	0.0	0.0	317.16	48.8
1.13.11.14-RXN	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.15-RXN	131.0	0.0	400.0	298.0	0.0	36.0	2643.0	0.0	7325.0	0.0	509.0	341.0	317.0	1532.0	2839.0	9004.5	347.0	921.0	1639.0	495.4
1.13.11.16-RXN	0.0	0.0	0.0	0.0	51.5	27.0	0.0	0.0	0.0	0.0	0.0	3.5	41.0	7.5	2264.0	3923.0	67.0	5.0	0.0	0.0
1.13.11.25-RXN	0.0	0.0	0.0	0.0	395.5	27.0	0.0	0.0	17.0	0.0	0.0	3.5	41.0	7.5	1725.0	3806.83	15.0	939.0	1487.0	0.0
1.13.11.41-RXN	0.0	11.0	0.0	0.0	39.0	0.0	17.0	82.5	0.0	0.0	403.0	416.0	447.0	96.0	1397.0	1359.0	162.0	6.0	0.0	0.0
1.13.11.46-RXN	0.0	0.0	0.0	0.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0
1.13.11.49-RXN	11.0	342.0	49.0	37.0	13655.17	58143.0	2275.0	13.0	0.0	0.0	0.0	3.5	41.0	7.5	113470.77	296765.91	23216.17	11485.67	291.93	45654.4
1.13.11.55-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4
1.13.11.6-RXN	341.75	84.0	172.0	182.0	163.0	36.0	1286.5	310.0	2436.0	429.0	5616.0	273.25	1445.67	2169.5	1891.34	7020.66	5461.0	9865.0	204.0	0.0
1.13.11.9-RXN	93.0	16.0	154.0	136.0	151.0	0.0	890.5	0.0	2472.5	0.0	12530.0	224.0	459.0	728.0	3673.0	7680.5	602.0	5607.0	49.0	0.0
1.14.11.1-RXN	76.0	1928.0	31.0	32.0	0.0	36.0	17.0	159.0	17.0	75.0	23.0	1149.0	711.0	1141.0	1071.0	6966.0	543.0	938.0	1498.0	0.0
1.14.11.18-RXN	153.0	59.0	0.0	22.0	111.0	0.0	0.0	0.0	17.0	33.0	6217.0	1045.0	402.0	616.0	2003.67	7152.83	193.5	3715.5	1514.0	0.0
1.14.11.2-RXN	148.0	557.0	415.0	555.0	8891.0	27.0	1822.0	63.0	4872.0	0.0	7397.0	1168.0	1395.0	1717.0	4310.0	7353.5	1004.0	3828.0	286.6	0.0
1.14.12.1-RXN	62.0	12.0	501.0	346.0	0.0	0.0	0.0	0.0	282.0	0.0	145.0	512.0	857.0	1968.0	3184.34	16180.66	715.0	1926.0	3087.0	0.0
1.14.12.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.10-RXN	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.59-RXN	38.0	16.0	0.0	22.0	1453.16	0.0	9.5	0.0	36.5	0.0	47.0	88.0	274.0	188.5	4360.34	13241.71	189.0	108.0	33.0	0.0
1.14.13.70-RXN	575.0	17.67	0.0	0.0	1066.0	27.0	0.0	625.33	0.0	593.0	0.0	3.5	41.0	7.5	16.0	98.0	0.0	11.0	0.0	0.0
1.14.13.84-RXN	0.0	0.0	0.0	23.0	376.0	0.0	9.5	0.0	36.5	0.0	0.0	210.5	497.0	291.0	7915.0	10778.0	314.0	109.0	71.0	0.0
1.14.13.92-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0
1.14.18.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	200.0	0.0	0.0	0.0	0.0
1.14.19.1-RXN	3815.0	11655.67	6907.0	22548.0	16142.34	183.0	7249.25	4063.83	3883.0	4725.5	27977.0	11797.0	13004.84	15150.5	195465.53	545839.28	37530.84	46976.75	2627.33	86.0
1.14.19.3-RXN	1062.75	12936.0	740.5	2373.0	2659.0	116.0	2259.25	2560.0	5380.0	3038.5	7129.0	470.75	3047.18	4193.0	41019.28	151525.33	22648.0	13527.75	72.5	0.0
1.15.1.2-RXN	5970.0	10182.0	0.0	0.0	19389.17	7.67	0.0	324.0	0.0	278.0	0.0	34.67	0.0	791.33	35653.66	118746.46	9619.75	12235.17	718.62	0.0
1.17.1.1-RXN	200.5	55.0	6573.0	22112.0	11881.0	87.0	4030.0	377.0	9046.0	73.5	28799.0	11675.44	10013.5	12733.44	34718.67	91636.0	25859.5	26771.0	2220.5	86.0
1.17.4.2-RXN	148.0	3361.0	0.0	29.0	19488.84	57855.67	0.0	90.0	35.0	14.0	47.0	172.67	201.0	1792.91	32383.54	82148.14	26793.55	5516.67	7202.12	45159.0
1.17.99.1-RXN	0.0	4.0	0.0	0.0	1130.5	0.0	0.0	0.0	0.0	0.0	806.0	832.0	894.0	206.0	4964.0	7952.0	547.5	221.0	0.0	0.0
1.18.1.2-RXN	4863.25	21243.17	6773.0	21859.0	25938.5	58097.67	5470.5	5745.83	4940.33	5299.5	27737.17	13955.86	12887.0	16938.35	139920.08	310480.45	30000.22	30606.34	22644.54	24.4
1.2.1.2-RXN	35658.75	52547.18	13686.0	43880.0	61117.67	58507.01	12024.0	16086.32	103634.0	6439.0	81690.0	97142.9	80511.5	78389.47	341662.07	729931.43	94312.87	152825.34	21130.85	137221.2
1.2.1.27-RXN	1883.25	6000.0	1387.5	1235.5	7832.5	411.0	6650.5	3012.0	27755.83	1893.5	22444.17	15878.57	13861.5	15467.32	163069.51	313727.92	34493.83	34569.83	6959.67	581.4
1.2.1.32-RXN	89.0	25.0	172.0	182.0	259.0	36.0	2653.5	310.0	2436.0	396.0	5667.0	129.0	394.67	1098.5	4553.67	14015.66	8528.0	10212.0	244.5	495.4
1.2.1.45-RXN	47.0	10.0	163.0	206.0	0.0	0.0	881.0	21.0	2436.0	0.0	601.0	563.0	606.0	932.0	2030.5	2299.5	251.0	52.0	38.0	0.0
1.2.1.58-RXN	0.0	0.0	0.0	0.0	0.0	23.01	0.0	0.0	0.0	0.0	0.0	104.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	3129.16	62.0	0.0	0.0	0.0	0.0	0.0	3.5	82.0	15.0	4028.6	7865.67	504.0	124.0	0.0	0.0
1.2.1.9-RXN	17.0	0.0	31.0	68.0	152.0	72.0	117.0	0.0	0.0	0.0	23.0	114.0	250.67	307.0	1341.34	8086.66	1321.5	6.5	117.5	0.0
1.2.3.3-RXN	0.0	0.0	0.0	0.0	29.0	57812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	685.3	5706.0	24.8	0.0	0.0	24.4
1.2.4.4-RXN	1621.75	16523.0	1302.0	2914.0	22619.16	360.0	9136.5	4759.0	43542.32	3391.0	14881.68	27081.75	25837.34	23397.5	218499.92	615949.46	62078.49	55816.49	16877.38	97.6
1.2.7.4-RXN	0.0	35.0	0.0	0.0	5140.84	23.01	0.0	0.0	0.0	0.0	0.0	104.01	0.0	67.32	5109.92	15304.59	3210.42	1078.5	494.52	0.0
1.2.7.5-RXN	586.0	38.67	0.0	0.0	4390.33	222.03	1367.0	625.33	0.0	593.0	54.0	314.47	0.0	139.44	9704.26	32643.58	7941.75	1542.0	1243.31	86.0
1.2.7.7-RXN	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	841.49	9387.0	23.0	11.0	28.0	0.0
1.2.7.8-RXN	1515.25	15333.0	1158.0	976.5	10604.84	154.02	5871.0	4831.0	30128.0	3965.5	28072.5	13246.59	12705.0	14485.64	163420.85	343060.84	21033.2	40125.84	5271.24	45245.0
1.2.99.7-RXN	0.0	0.0	0.0	0.0	4.67	15.34	0.0	0.0	0.0	0.0	0.0	69.34	0.0	66.33	897.8	3968.36	203.38	0.0	11.71	0.0
1.20.1.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	11.0	0.0	0.0
1.20.98.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.21.4.1-RXN	0.0	0.0	0.0	0.0	427.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	1.12	8.66	0.0	0.0	0.0
1.21.4.4-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
1.3.1.25-RXN	55.0	2.0	373.5	252.0	0.0	0.0	881.0	0.0	2577.0	0.0	614.0	758.0	932.5	1432.0	3259.17	10596.83	512.0	938.0	1608.5	0.0
1.3.1.53-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.54-RXN	761.5	2828.0	267.5	428.5	7818.5	132.0	466.5	2566.5	17124.33	766.5	3205.17	12767.44	10953.5	9921.27	65841.07	101550.33	12497.13	16444.5	2094.43	24.4
