"Pathways"	"Fourth Level"	"Third Level"	"Second Level"	"First Level"
PWY-6526	Limonene-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-7415	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6262	Demethylmenaquinol-8-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis
PWY-5992	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5924	Limonene-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-5084	Respiration	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6273	PhosphatidylethanolamineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-6661	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7709	Linalool-Biosynthesis	MONOTERPENOID-SYN // Terpenoid-Biosynthesis	Terpenoid-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis
PWY66-425	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6989	Camphor-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-6289	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7535	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
PWY-5852	Demethylmenaquinol-8-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis
PWY-6090	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
CHOLINE-BETAINE-ANA-PWY	Choline-Degradation	AMINE-DEG	Degradation	Pathways
PWY-7594	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis
PWY66-375	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
P601-PWY	Camphor-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-7489	TERPENOID-PHYTOALEXINS	PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5944	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5059	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7997	Demethylmenaquinol-6-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis
PWY-7742	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7167	Choline-Degradation	AMINE-DEG	Degradation	Pathways
PWY-7689	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6720	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7458	ANTHOCYANIN-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6411	Ginsenoside-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-5046	Respiration	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7626	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-2821	GLUCOSINOLATE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5298	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6412	Ginsenoside-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PPGPPMET-PWY	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
PWY-5853	Demethylmenaquinol-6-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis
PWY-5707	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6083	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
PWY-3721	Choline-Degradation	AMINE-DEG	Degradation	Pathways
PWY-6000	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis
PWY-7549	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7909	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-5801	QUINONE-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7102	Sesquiterpenoid-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation
PWY-7624	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7372	Demethylmenaquinol-6-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis
PWY-6076	HORMONE-SYN // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways
PWY-7475	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5022	4-Aminobutyraye-Degradation // Acetyl-CoA-Butyrate	AMINE-DEG // Fermentation-to-Acids	Degradation // Fermentation	Pathways // Energy-Metabolism
PWY-3781	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY4FS-6	PhosphatidylethanolamineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
FORMASS-PWY	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-7751	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5324	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY3O-6	Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-5677	Acetyl-CoA-Butyrate	Fermentation-to-Acids	Fermentation	Energy-Metabolism
PWY-7986	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6405	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
